source_id,track_id,evidence_role,tier,title,publisher,url,published_at,accessed_at,page_or_timecode,claim_supported,license,independence_group,notes
jp-maibara-okuibuki-motor-park-d1gp-2024-route-1,jp-maibara-okuibuki-motor-park-d1gp-2024,competition-course,S,D1GP RD.1&2 Okuibuki preview,D1 Official Website,https://d1gp.co.jp/15856/,,2026-08-17,named event/course section on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,D1 Official Website,Do not use as a traceable drawing substrate.
jp-maibara-okuibuki-motor-park-d1gp-2024-identity,jp-maibara-okuibuki-motor-park-d1gp-2024,event-identity,S,D1GP Rd.1 Okuibuki detailed report,official organizer / sanctioning body,https://d1gp.co.jp/16222/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-maibara-okuibuki-motor-park-d1gp-2024-venue,jp-maibara-okuibuki-motor-park-d1gp-2024,venue-map-only,A,OpenStreetMap context search — Okuibuki Motor Park,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Okuibuki%20Motor%20Park%2C%20Maibara%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-shimotsuma-tsukuba-circuit-d1gp-2024-route-1,jp-shimotsuma-tsukuba-circuit-d1gp-2024,competition-course,S,D1GP 2024 Rd.3–4 Tsukuba official event video,VIDEO OPTION / D1 broadcast,https://www.youtube.com/watch?v=kB6VwFqN0N8,,2026-08-17,full programme or complete clip; repeated complete judged runs; exact frame timecode to be pinned during blind review,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,VIDEO OPTION / D1 broadcast,Do not use as a traceable drawing substrate.
jp-shimotsuma-tsukuba-circuit-d1gp-2024-identity,jp-shimotsuma-tsukuba-circuit-d1gp-2024,event-identity,S,2024 D1GP official season archive,official organizer / sanctioning body,https://d1gp.co.jp/category/gp/2024-d1gp/,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-shimotsuma-tsukuba-circuit-d1gp-2024-venue,jp-shimotsuma-tsukuba-circuit-d1gp-2024,venue-map-only,A,OpenStreetMap context search — Tsukuba Circuit,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Tsukuba%20Circuit%2C%20Shimotsuma%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024-route-1,jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024,competition-course,S,D1GP Rd.5 Ebisu detailed report,D1 Official Website,https://d1gp.co.jp/18500/,,2026-08-17,named event/course section on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,D1 Official Website,Do not use as a traceable drawing substrate.
jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024-identity,jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024,event-identity,S,Official running-route notice,official organizer / sanctioning body,https://entry.d1gp.co.jp/download_files/information_EBISU_009%20%E8%B5%B0%E8%A1%8C%E7%B5%8C%E8%B7%AF%E5%9B%B3.pdf,,2026-08-17,named event/round/venue section,"event name, year, round, venue and organized competition status",reference-only,official identity,
jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024-venue,jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024,venue-map-only,A,OpenStreetMap context search — Ebisu Circuit West Course,OpenStreetMap contributors,https://www.openstreetmap.org/search?query=Ebisu%20Circuit%20West%20Course%2C%20Nihonmatsu%2C%20Japan,,2026-08-17,map context only; resolve stable OSM object/relation before geometry extraction,venue/street context only; does not prove the drift competition course,ODbL; attribution required for derived geometry,OpenStreetMap,Explicitly prohibited as sole evidence of the actual competition route.
jp-hita-autopolis-d1gp-2024-route-1,jp-hita-autopolis-d1gp-2024,competition-course,S,D1GP Rd.7 Autopolis detailed report,D1 Official Website,https://d1gp.co.jp/18869/,,2026-08-17,named event/course section on page,"event identity, actual judged segment, start-to-finish order and direction as visible/described",reference-only; no redistribution,D1 Official Website,Do not use as a traceable drawing substrate.
