track_id,display_name,event_name,series,event_tier,event_year,round,venue_name,city,country_or_region,iso_country_code,atlas_region,venue_type,course_variant,direction,course_segment,start_description,finish_description,initiation_description,judged_features,selection_score,diversity_tags,evidence_status,production_clearance,redraw_basis,source_licenses,derivative_risk,researcher,reviewer,status,version
jp-maibara-okuibuki-motor-park-d1gp-2024,D1GP 2024 — Okuibuki Motor Park,D1GP Rd.1,D1GP,international_continental_top,2024,Rd.1,Okuibuki Motor Park,Maibara,Japan,JP,Japan,parking,D1GP parking-course layout,access-road start → downhill acceleration → right-hand entry → outer-perimeter judged transitions → finish,"Start at the access road to Parking Area 3, descend through the acceleration zone, right-angle right, outer perimeter, then the documented multi-transition judged section to finish.","connection road to Parking Area 3, as stated by D1",after the final documented transition,sharp initiation toward Turn 1 after the outer-perimeter approach,three D1-described zones; marker coordinates must be transcribed from the official event visual,96,temporary|parking|official-course-description,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-shimotsuma-tsukuba-circuit-d1gp-2024,D1GP 2024 — Tsukuba Circuit,D1GP Rd.3,D1GP,international_continental_top,2024,Rd.3,Tsukuba Circuit,Shimotsuma,Japan,JP,Japan,permanent,Course 2000 event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,91,permanent|high-speed,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024,D1GP 2024 — Ebisu Circuit West Course,D1GP Rd.5,D1GP,international_continental_top,2024,Rd.5,Ebisu Circuit West Course,Nihonmatsu,Japan,JP,Japan,permanent,West Course S-transition judged sector,event start → constrained straight/feint → Turn 1 outer zone → West Course judged continuation → finish,"West Course judged section: straight constrained to force an S-like feint before Turn 1, continuing through the documented hairpin-zone sequence.",marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,official report confirms the Turn 1 outer zone and changed straight restriction,95,permanent|reverse-entry|official-course-description,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-hita-autopolis-d1gp-2024,D1GP 2024 — Autopolis,D1GP Rd.7,D1GP,international_continental_top,2024,Rd.7,Autopolis,Hita,Japan,JP,Japan,permanent,reverse main-straight/final-corner sector,main straight in reverse venue direction → final corner → uphill exit finish,"Reverse-direction sector starting on the main straight, using the final corner, and finishing on corner exit.",main straight start in reverse direction,on the exit after the final corner,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,official report says zones were broadly retained from 2023 and required full-zone tracing,96,permanent|reverse|official-course-description,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-tokyo-odaiba-special-venue-d1gp-2024,D1GP 2024 — Odaiba Special Venue,D1GP Rd.9,D1GP,international_continental_top,2024,Rd.9,Odaiba Special Venue,Tokyo,Japan,JP,Japan,parking,2024 NOP-area temporary course,start → right acceleration corner → short straight/initiation → outer arc → low-speed transition → final corner → finish,"Temporary Odaiba course: immediate right acceleration corner, short straight, initiation, large outer-perimeter arc, low-speed transition, final corner and finish.",marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,95,temporary|parking|official-course-description,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-oyama-fuji-speedway-formula-drift-japan-2024,Formula Drift Japan 2024 — Fuji Speedway,Formula Drift Japan Rd.1,Formula Drift Japan,international_continental_top,2024,Rd.1,Fuji Speedway,Oyama,Japan,JP,Japan,permanent,event barrier course on Fuji facility,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,92,permanent|international-field,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024,Formula Drift Japan 2024 — Suzuka Twin Circuit,Formula Drift Japan Rd.2,Formula Drift Japan,international_continental_top,2024,Rd.2,Suzuka Twin Circuit,Suzuka,Japan,JP,Japan,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,93,permanent|official-broadcast,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-nihonmatsu-ebisu-circuit-west-course-formula-drift-japan-2024,Formula Drift Japan 2024 — Ebisu Circuit West Course,Formula Drift Japan Rd.3,Formula Drift Japan,international_continental_top,2024,Rd.3,Ebisu Circuit West Course,Nihonmatsu,Japan,JP,Japan,permanent,FDJ West Course judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,94,permanent|official-broadcast,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-murata-sportsland-sugo-formula-drift-japan-2024,Formula Drift Japan 2024 — Sportsland Sugo,Formula Drift Japan Rd.4,Formula Drift Japan,international_continental_top,2024,Rd.4,Sportsland Sugo,Murata,Japan,JP,Japan,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,82,permanent,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024,Formula Drift Japan 2024 — Okayama International Circuit,Formula Drift Japan Rd.6,Formula Drift Japan,international_continental_top,2024,Rd.6,Okayama International Circuit,Mimasaka,Japan,JP,Japan,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,92,permanent|official-broadcast,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-long-beach-grand-prix-of-long-beach-street-super-drift-challenge-2024,Super Drift Challenge 2024 — Grand Prix of Long Beach street circuit,Grand Prix of Long Beach Super Drift Challenge,Super Drift Challenge,historic_independent_invitation,2024,Invitational,Grand Prix of Long Beach street circuit,Long Beach,United States,US,North America,street,Grand Prix street-course drift sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,94,temporary|street|invitational,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-braselton-michelin-raceway-road-atlanta-formula-drift-2026,Formula Drift 2026 — Michelin Raceway Road Atlanta,Formula Drift Rd.2,Formula Drift,international_continental_top,2026,Rd.2,Michelin Raceway Road Atlanta,Braselton,United States,US,North America,permanent,Formula Drift downhill judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,98,permanent|high-speed|official-course-map,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
us-orlando-orlando-speed-world-formula-drift-2026,Formula Drift 2026 — Orlando Speed World,Formula Drift Rd.3,Formula Drift,international_continental_top,2026,Rd.3,Orlando Speed World,Orlando,United States,US,North America,permanent,bank/transition judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,marked/staged competition start visible in the cited run,end of the judged sequence visible in the cited run,first judged initiation visible after the acceleration zone; exact marker coordinates require the production review pass,only features visibly marked or repeatedly demonstrated in the cited event source; no inferred clip points are authorized,97,permanent|oval-infield|official-course-map,source-threshold-met,pending-independent-blind-review,Reconstruct factual topology from the competition run plus a separate OSM/venue context map; do not trace either source artwork.,Competition media: reference-only; OSM context: ODbL attribution required if geometry is derived.,medium,Codex research execution 2026-08-17,,research-complete,1.0.0
