track_id,selection_status,backup_rank,display_name,event_name,series,event_tier,event_year,round,venue_name,city,country_or_region,iso_country_code,atlas_region,venue_type,course_variant,direction,course_segment,route_source_tier,route_source_url,second_route_tier,second_route_url,selection_score,evidence_status,production_clearance,replacement_for,evidence_conflicts,confidence_notes
jp-maibara-okuibuki-motor-park-d1gp-2024,selected,,D1GP 2024 — Okuibuki Motor Park,D1GP Rd.1,D1GP,international_continental_top,2024,Rd.1,Okuibuki Motor Park,Maibara,Japan,JP,Japan,parking,D1GP parking-course layout,access-road start → downhill acceleration → right-hand entry → outer-perimeter judged transitions → finish,"Start at the access road to Parking Area 3, descend through the acceleration zone, right-angle right, outer perimeter, then the documented multi-transition judged section to finish.",S,https://d1gp.co.jp/15856/,,,96,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-shimotsuma-tsukuba-circuit-d1gp-2024,selected,,D1GP 2024 — Tsukuba Circuit,D1GP Rd.3,D1GP,international_continental_top,2024,Rd.3,Tsukuba Circuit,Shimotsuma,Japan,JP,Japan,permanent,Course 2000 event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=kB6VwFqN0N8,,,91,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-nihonmatsu-ebisu-circuit-west-course-d1gp-2024,selected,,D1GP 2024 — Ebisu Circuit West Course,D1GP Rd.5,D1GP,international_continental_top,2024,Rd.5,Ebisu Circuit West Course,Nihonmatsu,Japan,JP,Japan,permanent,West Course S-transition judged sector,event start → constrained straight/feint → Turn 1 outer zone → West Course judged continuation → finish,"West Course judged section: straight constrained to force an S-like feint before Turn 1, continuing through the documented hairpin-zone sequence.",S,https://d1gp.co.jp/18500/,,,95,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-hita-autopolis-d1gp-2024,selected,,D1GP 2024 — Autopolis,D1GP Rd.7,D1GP,international_continental_top,2024,Rd.7,Autopolis,Hita,Japan,JP,Japan,permanent,reverse main-straight/final-corner sector,main straight in reverse venue direction → final corner → uphill exit finish,"Reverse-direction sector starting on the main straight, using the final corner, and finishing on corner exit.",S,https://d1gp.co.jp/18869/,,,96,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-tokyo-odaiba-special-venue-d1gp-2024,selected,,D1GP 2024 — Odaiba Special Venue,D1GP Rd.9,D1GP,international_continental_top,2024,Rd.9,Odaiba Special Venue,Tokyo,Japan,JP,Japan,parking,2024 NOP-area temporary course,start → right acceleration corner → short straight/initiation → outer arc → low-speed transition → final corner → finish,"Temporary Odaiba course: immediate right acceleration corner, short straight, initiation, large outer-perimeter arc, low-speed transition, final corner and finish.",S,https://d1gp.co.jp/18872/,,,95,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-oyama-fuji-speedway-formula-drift-japan-2024,selected,,Formula Drift Japan 2024 — Fuji Speedway,Formula Drift Japan Rd.1,Formula Drift Japan,international_continental_top,2024,Rd.1,Fuji Speedway,Oyama,Japan,JP,Japan,permanent,event barrier course on Fuji facility,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://formulad.jp/news/20240329/,B,https://www.youtube.com/watch?v=4svH3BfhBzg,92,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-suzuka-suzuka-twin-circuit-formula-drift-japan-2024,selected,,Formula Drift Japan 2024 — Suzuka Twin Circuit,Formula Drift Japan Rd.2,Formula Drift Japan,international_continental_top,2024,Rd.2,Suzuka Twin Circuit,Suzuka,Japan,JP,Japan,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=ZJAE87jbIw8,,,93,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-nihonmatsu-ebisu-circuit-west-course-formula-drift-japan-2024,selected,,Formula Drift Japan 2024 — Ebisu Circuit West Course,Formula Drift Japan Rd.3,Formula Drift Japan,international_continental_top,2024,Rd.3,Ebisu Circuit West Course,Nihonmatsu,Japan,JP,Japan,permanent,FDJ West Course judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=urFE8EmQOA4,,,94,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-murata-sportsland-sugo-formula-drift-japan-2024,selected,,Formula Drift Japan 2024 — Sportsland Sugo,Formula Drift Japan Rd.4,Formula Drift Japan,international_continental_top,2024,Rd.4,Sportsland Sugo,Murata,Japan,JP,Japan,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,B,https://www.youtube.com/watch?v=tV4jMfo_Chg,S,https://formulad.jp/news/20240611/,82,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
jp-mimasaka-okayama-international-circuit-formula-drift-japan-2024,selected,,Formula Drift Japan 2024 — Okayama International Circuit,Formula Drift Japan Rd.6,Formula Drift Japan,international_continental_top,2024,Rd.6,Okayama International Circuit,Mimasaka,Japan,JP,Japan,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=gtkmF5brcHY,,,92,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-long-beach-grand-prix-of-long-beach-street-super-drift-challenge-2024,selected,,Super Drift Challenge 2024 — Grand Prix of Long Beach street circuit,Grand Prix of Long Beach Super Drift Challenge,Super Drift Challenge,historic_independent_invitation,2024,Invitational,Grand Prix of Long Beach street circuit,Long Beach,United States,US,North America,street,Grand Prix street-course drift sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=HmbYdnQlCfg,,,94,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-braselton-michelin-raceway-road-atlanta-formula-drift-2026,selected,,Formula Drift 2026 — Michelin Raceway Road Atlanta,Formula Drift Rd.2,Formula Drift,international_continental_top,2026,Rd.2,Michelin Raceway Road Atlanta,Braselton,United States,US,North America,permanent,Formula Drift downhill judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.formulad.com/schedule/2026/atlanta,S,https://www.youtube.com/watch?v=JRJsgQc2oiQ,98,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-orlando-orlando-speed-world-formula-drift-2026,selected,,Formula Drift 2026 — Orlando Speed World,Formula Drift Rd.3,Formula Drift,international_continental_top,2026,Rd.3,Orlando Speed World,Orlando,United States,US,North America,permanent,bank/transition judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.formulad.com/schedule/2026/orlando,S,https://www.youtube.com/watch?v=8hwmXHT0VcU,97,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-stafford-springs-stafford-motor-speedway-formula-drift-2026,selected,,Formula Drift 2026 — Stafford Motor Speedway,Formula Drift Rd.4,Formula Drift,international_continental_top,2026,Rd.4,Stafford Motor Speedway,Stafford Springs,United States,US,North America,permanent,oval judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.formulad.com/schedule/2026/stafford,S,https://www.youtube.com/watch?v=iOMF-EL7r5Y,98,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-madison-world-wide-technology-raceway-formula-drift-2024,selected,,Formula Drift 2024 — World Wide Technology Raceway,Formula Drift Rd.5,Formula Drift,international_continental_top,2024,Rd.5,World Wide Technology Raceway,Madison,United States,US,North America,permanent,oval/infield judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=3XKkM25zkeg,,,92,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-monroe-evergreen-speedway-formula-drift-2024,selected,,Formula Drift 2024 — Evergreen Speedway,Formula Drift Rd.6,Formula Drift,international_continental_top,2024,Rd.6,Evergreen Speedway,Monroe,United States,US,North America,permanent,bank-to-infield judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=1ka7q0xQqdk,,,90,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-las-vegas-las-vegas-motor-speedway-formula-drift-2012,selected,,Formula Drift 2012 — Las Vegas Motor Speedway,Formula Drift Rd.6,Formula Drift,international_continental_top,2012,Rd.6,Las Vegas Motor Speedway,Las Vegas,United States,US,North America,parking,After Dark temporary course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=V5eOZ5nZfy8,,,88,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
us-irwindale-irwindale-speedway-formula-drift-2024,selected,,Formula Drift 2024 — Irwindale Speedway,Formula Drift Rd.8,Formula Drift,international_continental_top,2024,Rd.8,Irwindale Speedway,Irwindale,United States,US,North America,permanent,bank-to-infield House of Drift sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=ccdYVvW3X-w,,,95,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
ca-montmagny-autodrome-montmagny-dmcc-2024,selected,,DMCC 2024 — Autodrome Montmagny,DMCC Rd.4,DMCC,mature_national,2024,Rd.4,Autodrome Montmagny,Montmagny,Canada,CA,North America,permanent,speedway judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://www.youtube.com/watch?v=AY7We6t4Viw,,,86,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
mx-queretaro-autodromo-de-queretaro-mexican-drift-championship-2024,selected,,Mexican Drift Championship 2024 — Autodromo de Queretaro,Mexican Drift Championship Round 3,Mexican Drift Championship,mature_national,2024,Round 3,Autodromo de Queretaro,Queretaro,Mexico,MX,North America,permanent,event judged sector,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,B,https://www.youtube.com/watch?v=wNle69Xux0Q,B,https://www.youtube.com/watch?v=Pbp0usMM0no,75,source-threshold-met,pending-independent-blind-review,,,Source threshold is met by two independent B-tier videos; organizer map and precise clip markers remain a blind-review priority.
it-rome-autodromo-vallelunga-piero-taruf-drift-masters-2026,selected,,Drift Masters 2026 — Autodromo Vallelunga Piero Taruffi,Drift Masters Rd.1,Drift Masters,international_continental_top,2026,Rd.1,Autodromo Vallelunga Piero Taruffi,Rome,Italy,IT,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://dm.gp/media/hdqjd105/italy_rnd1_briefing_26.pdf,,,99,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
es-madrid-circuito-de-madrid-jarama-race-drift-masters-2026,selected,,Drift Masters 2026 — Circuito de Madrid Jarama RACE,Drift Masters Rd.2,Drift Masters,international_continental_top,2026,Rd.2,Circuito de Madrid Jarama RACE,Madrid,Spain,ES,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://dm.gp/media/bjmpeaue/dm26-rd2-spain-qualifying-battle-briefing_page_260516_091859.pdf,,,99,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
ie-kildare-mondello-park-drift-masters-2026,selected,,Drift Masters 2026 — Mondello Park,Drift Masters Rd.3,Drift Masters,international_continental_top,2026,Rd.3,Mondello Park,Kildare,Ireland,IE,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://dm.gp/media/xonftewg/dm26-rd3-briefing.pdf,,,99,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
fi-hameenlinna-ahvenisto-race-circuit-drift-masters-2026,selected,,Drift Masters 2026 — Ahvenisto Race Circuit,Drift Masters Rd.4,Drift Masters,international_continental_top,2026,Rd.4,Ahvenisto Race Circuit,Hameenlinna,Finland,FI,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://dm.gp/media/p43d0rgm/dm26-rd4-finland-qualifying-battle-briefing_www.pdf,,,99,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
lv-riga-bikernieki-circuit-drift-masters-2026,selected,,Drift Masters 2026 — Bikernieki Circuit,Drift Masters Rd.5,Drift Masters,international_continental_top,2026,Rd.5,Bikernieki Circuit,Riga,Latvia,LV,Europe,permanent,official 2026 briefing course,"start-to-finish sequence shown by the cited competition run; open judged course, so whole-lap CW/CCW is not applicable",event-specific judged segment shown in the cited competition source; not the venue full-lap map,S,https://dm.gp/media/qwde50fz/dm26-rd5-latvia-briefing.pdf,,,99,source-threshold-met,pending-independent-blind-review,,,Course direction is evidenced by the run sequence; compass bearing and marker coordinates remain a production-stage transcription task.
